법정동코드,법정동명,id
1114016300,서울특별시 중구 흥인동,149
1114016400,서울특별시 중구 무학동,150
1114016500,서울특별시 중구 황학동,151
1114016600,서울특별시 중구 서소문동,152
1114016700,서울특별시 중구 정동,153
1114016800,서울특별시 중구 순화동,154
1114016900,서울특별시 중구 의주로1가,155
1114017000,서울특별시 중구 충정로1가,156
1114017100,서울특별시 중구 중림동,157
1114017200,서울특별시 중구 의주로2가,158
1114017300,서울특별시 중구 만리동1가,159
1114017400,서울특별시 중구 만리동2가,160
1117010100,서울특별시 용산구 후암동,161
1117010200,서울특별시 용산구 용산동2가,162
1117010300,서울특별시 용산구 용산동4가,163
1117010400,서울특별시 용산구 갈월동,164
1117010500,서울특별시 용산구 남영동,165
1117010600,서울특별시 용산구 용산동1가,166
1117010700,서울특별시 용산구 동자동,167
1117010800,서울특별시 용산구 서계동,168
1117010900,서울특별시 용산구 청파동1가,169
1117011000,서울특별시 용산구 청파동2가,170
1117011100,서울특별시 용산구 청파동3가,171
1117011200,서울특별시 용산구 원효로1가,172
1117011300,서울특별시 용산구 원효로2가,173
1117011400,서울특별시 용산구 신창동,174
1117011500,서울특별시 용산구 산천동,175
1117011600,서울특별시 용산구 청암동,176
1117011700,서울특별시 용산구 원효로3가,177
1117011800,서울특별시 용산구 원효로4가,178
1117011900,서울특별시 용산구 효창동,179
1117012000,서울특별시 용산구 도원동,180
1117012100,서울특별시 용산구 용문동,181
1117012200,서울특별시 용산구 문배동,182
1117012300,서울특별시 용산구 신계동,183
1117012400,서울특별시 용산구 한강로1가,184
1117012500,서울특별시 용산구 한강로2가,185
1117012600,서울특별시 용산구 용산동3가,186
1117012700,서울특별시 용산구 용산동5가,187
1117012800,서울특별시 용산구 한강로3가,188
1117012900,서울특별시 용산구 이촌동,189
1117013000,서울특별시 용산구 이태원동,190
1117013100,서울특별시 용산구 한남동,191
1117013200,서울특별시 용산구 동빙고동,192
1117013300,서울특별시 용산구 서빙고동,193
1117013400,서울특별시 용산구 주성동,194
1117013500,서울특별시 용산구 용산동6가,195
1117013600,서울특별시 용산구 보광동,196
1120010100,서울특별시 성동구 상왕십리동,197
1120010200,서울특별시 성동구 하왕십리동,198
1120010300,서울특별시 성동구 홍익동,199
1120010400,서울특별시 성동구 도선동,200
1120010500,서울특별시 성동구 마장동,201
1120010600,서울특별시 성동구 사근동,202
1120010700,서울특별시 성동구 행당동,203
1120010800,서울특별시 성동구 응봉동,204
1120010900,서울특별시 성동구 금호동1가,205
1120011000,서울특별시 성동구 금호동2가,206
1120011100,서울특별시 성동구 금호동3가,207
1120011200,서울특별시 성동구 금호동4가,208
1120011300,서울특별시 성동구 옥수동,209
1120011400,서울특별시 성동구 성수동1가,210
1120011500,서울특별시 성동구 성수동2가,211
1120011800,서울특별시 성동구 송정동,212
1120012200,서울특별시 성동구 용답동,213
1121510100,서울특별시 광진구 중곡동,214
1121510200,서울특별시 광진구 능동,215
1121510300,서울특별시 광진구 구의동,216
1121510400,서울특별시 광진구 광장동,217
1121510500,서울특별시 광진구 자양동,218
1121510700,서울특별시 광진구 화양동,219
1121510900,서울특별시 광진구 군자동,220
1123010100,서울특별시 동대문구 신설동,221
1123010200,서울특별시 동대문구 용두동,222
1123010300,서울특별시 동대문구 제기동,223
1123010400,서울특별시 동대문구 전농동,224
1123010500,서울특별시 동대문구 답십리동,225
1123010600,서울특별시 동대문구 장안동,226
1123010700,서울특별시 동대문구 청량리동,227
1123010800,서울특별시 동대문구 회기동,228
1123010900,서울특별시 동대문구 휘경동,229
1123011000,서울특별시 동대문구 이문동,230
1126010100,서울특별시 중랑구 면목동,231
1126010200,서울특별시 중랑구 상봉동,232
1126010300,서울특별시 중랑구 중화동,233
1126010400,서울특별시 중랑구 묵동,234
1126010500,서울특별시 중랑구 망우동,235
1126010600,서울특별시 중랑구 신내동,236
1129010100,서울특별시 성북구 성북동,237
1129010200,서울특별시 성북구 성북동1가,238
1129010300,서울특별시 성북구 돈암동,239
1129010400,서울특별시 성북구 동소문동1가,240
1129010500,서울특별시 성북구 동소문동2가,241
1129010600,서울특별시 성북구 동소문동3가,242
1129010700,서울특별시 성북구 동소문동4가,243
1129010800,서울특별시 성북구 동소문동5가,244
1129010900,서울특별시 성북구 동소문동6가,245
